Date,RollNo,Name,Subject,Status
2026-07-01,23CS101,Aarav Sharma,Agentic AI,Present
2026-07-01,23CS102,Ishika Dubey,Agentic AI,Present
2026-07-01,23CS103,Rohan Patil,Agentic AI,Present
2026-07-01,23CS104,Sneha Iyer,Agentic AI,Present
2026-07-01,23CS105,Kabir Mehta,Agentic AI,Present
2026-07-01,23CS106,Ananya Rao,Agentic AI,Present
2026-07-01,23CS107,Vivek Kulkarni,Agentic AI,Present
2026-07-01,23CS108,Priya Nair,Agentic AI,Present
2026-07-01,23CS109,Arjun Deshmukh,Agentic AI,Present
2026-07-01,23CS110,Tanvi Joshi,Agentic AI,Present
2026-07-01,23CS111,Yash Agarwal,Agentic AI,Present
2026-07-01,23CS112,Meera Pillai,Agentic AI,Present
2026-07-01,23CS113,Nikhil Verma,Agentic AI,Present
2026-07-01,23CS114,Riya Bansal,Agentic AI,Absent
2026-07-01,23CS115,Omkar Jadhav,Agentic AI,Present
2026-07-01,23CS101,Aarav Sharma,Machine Learning,Present
2026-07-01,23CS102,Ishika Dubey,Machine Learning,Present
2026-07-01,23CS103,Rohan Patil,Machine Learning,Present
2026-07-01,23CS104,Sneha Iyer,Machine Learning,Absent
2026-07-01,23CS105,Kabir Mehta,Machine Learning,Present
2026-07-01,23CS106,Ananya Rao,Machine Learning,Present
2026-07-01,23CS107,Vivek Kulkarni,Machine Learning,Present
2026-07-01,23CS108,Priya Nair,Machine Learning,Present
2026-07-01,23CS109,Arjun Deshmukh,Machine Learning,Absent
2026-07-01,23CS110,Tanvi Joshi,Machine Learning,Present
2026-07-01,23CS111,Yash Agarwal,Machine Learning,Present
2026-07-01,23CS112,Meera Pillai,Machine Learning,Absent
2026-07-01,23CS113,Nikhil Verma,Machine Learning,Present
2026-07-01,23CS114,Riya Bansal,Machine Learning,Present
2026-07-01,23CS115,Omkar Jadhav,Machine Learning,Present
2026-07-01,23CS101,Aarav Sharma,DBMS,Present
2026-07-01,23CS102,Ishika Dubey,DBMS,Present
2026-07-01,23CS103,Rohan Patil,DBMS,Present
2026-07-01,23CS104,Sneha Iyer,DBMS,Absent
2026-07-01,23CS105,Kabir Mehta,DBMS,Present
2026-07-01,23CS106,Ananya Rao,DBMS,Absent
2026-07-01,23CS107,Vivek Kulkarni,DBMS,Present
2026-07-01,23CS108,Priya Nair,DBMS,Present
2026-07-01,23CS109,Arjun Deshmukh,DBMS,Present
2026-07-01,23CS110,Tanvi Joshi,DBMS,Present
2026-07-01,23CS111,Yash Agarwal,DBMS,Present
2026-07-01,23CS112,Meera Pillai,DBMS,Absent
